"RIS Name","Description","Database","Report","FRB Number","Call Names"
"CRRENOWQ","OWN OCC NONFRM NONRS RECOV-QTR","CDI","RI-B","",""
"CRRENRSQ","NONFARM NONRES RE LN RECOVER-QTR","CDI","RI-B","",""
"CRRENUSQ","NON-U.S. RE LN RECOVERIES-QTR","CDI","RI-B","",""
"CRREOTHQ","RESIDENTIAL RE LN RECOVERIES-QTR","CDI","RI-B","",""
"CRREOTQ","RE LOANS-OTHER RECOVERIES-QTR","CDI","RI-B","",""
"CRREQ","RE LOANS RECOVERIES-QTR","CDI","RI-B","",""
"CRRERESQ","RE LOANS 1-4 FAMILY RECOVER-QTR","CDI","RI-B","",""
"CRRERS2Q","RE LN 1-4 FAM JR LIEN-RECOV-QTR","CDI","RI-B","",""
"CRRERSFQ","RE LN 1-4 FIRST LIEN-RECOV-QTR","CDI","RI-B","",""
"CRSCAFSQ","TOT DBT SEC-AFS-NET CHG-OFF-QTR","CDI","RI-B","",""
"CRSCHTMQ","TOTAL DEBT SEC-HTM-RECOVER-QTR","CDI","RI-B","",""
"CRTOTQ","LOAN & LEASE LOSS RECOVERIES-QTR","CDI","RI-B","",""
"CUSLI2","CUSTOMERS ACCEPTANCES-CAVG2","CDI","RC-BAL","",""
"CUSLI5","CUSTOMERS ACCEPTANCES-CAVG5","CDI","RC-BAL","",""
"DDTELIM","DDA ELIMINATIONS","CDI","RC-O","",""
"DDTGR","DDA-GROSS","CDI","RC-O","",""
"DDTJ","DDA-ADJ","CDI","RC-O","",""
"DDTJCS","DDA-ADJ LESS DEDUCTIONS","CDI","RC-O","",""
"DEP2","TOTAL DEPOSITS-CAVG2","CDI","RC-BAL","",""
"DEP5","TOTAL DEPOSITS-CAVG5","CDI","RC-BAL","",""
"DEPAADA","DEPOSIT ADJUSTED ATTR. - OAKAR","CDI","RC-O","",""
"DEPBRICW","BENEFIT-RESPONSIVE DEPOSITS","CDI","RC-O","",""
"DEPCSB","AVG DEP ASSESSMENT BASE-ESTIMATE","CDI","RC-O","",""
"DEPCSBQ","ESTIMATE DEP ASSESSMENT BASE-QTR","CDI","RC-O","",""
"DEPDOM2","TOTAL DEPOSITS-DOM-CAVG2","CDI","RC-BAL","",""
"DEPDOM5","TOTAL DEPOSITS-DOM-CAVG5","CDI","RC-BAL","",""
"DEPFORW","TOTAL DEPOSITS-FOR-W","CDI","RC-BAL","",""
"DEPFORW2","TOTAL DEPOSITS-FOR-CAVG2","CDI","RC-BAL","",""
"DEPFORW5","TOTAL DEPOSITS-FOR-CAVG5","CDI","RC-BAL","",""
"DEPI2","INTEREST-BEARING DEP-CAVG2","CDI","RC-BAL","",""
"DEPI5","INTEREST-BEARING DEP-CAVG5","CDI","RC-BAL","",""
"DEPINS","ESTIMATED INSURED DEPOSITS","CDI","RC-O","",""
"DEPLGAMT","LARGE DEPOSIT ACCOUNTS-AMOUNT","CDI","RC-O","",""
"DEPLGNUM","LARGE DEPOSIT ACCOUNTS-NUMBER","CDI","RC-O","",""
"DEPNI2","NONINTEREST-BEARING DEP-CAVG2","CDI","RC-BAL","",""
"DEPNI5","NONINTEREST-BEARING DEP-CAVG5","CDI","RC-BAL","",""
"DEPPREFD","PREFERRED DEPOSITS","CDI","RC-E","",""
"DEPSMAMT","SMALL DEPOSIT ACCOUNTS-AMOUNT","CDI","RC-O","",""
"DEPSMNUM","SMALL DEPOSIT ACCOUNTS-NUMBER","CDI","RC-O","",""
"DEPSMRNB","SMALL DEPOSIT RETIREMENT ACC-NUM","CDI","RC-O","",""
"DEPUNINS","ESTIMATED UNINSURED DEPOSITS","CDI","RC-O","",""
"DISCTSW","UNAMORT DISC ON T&S DEPOSITS","CDI","RC-O","",""
"DRAGQ","AG LOAN CHARGE-OFFS-QTR","CDI","RI-B","",""
"DRAGSMQ","AG LOAN CHG-OFFS-QTR*SMALL BKS","CDI","RI-B","",""
"DRAUTOQ","AUTO LNS - CHG-OFFS - QTR","CDI","RI-B","",""
"DRCINUSQ","NON-U.S. COMMER LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRCIQ","COMMERCIAL LOAN CHG-OFFS-QTR","CDI","RI-B","",""
"DRCOMREQ","COMMERCIAL RE LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRCONOTQ","OTHER CONSUMER LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRCONQ","CONSUMER LOAN CHG-OFFS-QTR","CDI","RI-B","",""
"DRCRCDQ","CREDIT CARD LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRDEPNUQ","FOREIGN DEP INST LN CHG-OFF-QTR","CDI","RI-B","",""
"DRDEPQ","DEPOSITORY INST LOAN CHG-OFF-QTR","CDI","RI-B","",""
"DRFORGVQ","FOREIGN GOV LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRLNLSQ","LN&LS CHARGE-OFFS-QTR","CDI","RI-B","",""
"DRLSCONQ","CONSUMER LEASE CHG-OFF - QTR","CDI","RI-B","",""
"DRLSNUSQ","NON-U.S. LEASE CHG-OFFS-QTR","CDI","RI-B","",""
"DRLSOTHQ","ALL OTHER LEASES CHG-OFF - QTR","CDI","RI-B","",""
"DRLSQ","LEASE CHARGE-OFFS-QTR","CDI","RI-B","",""
"DROBSDIQ","CREDIT LOSS ON DERIVATIVES-QTR","CDI","RI-INC","",""
"DROFFBS","TOTAL OFF-BAL SHEET CHG-OFFS","CDI","RI-B","",""
"DROFFBSQ","OFF-BAL SHEET CHG-OFF-QTR","CDI","RI-B","",""
"DROTHQ","ALL OTHER LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRREAGQ","FARMLAND RE LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRREAOT","OTHER RE LOANS CHARGE-OFFS","CDI","RI-B","",""
"DRREAOTQ","OTHER RE LOANS CHG-OFFS-QTR","CDI","RI-B","",""
"DRRECNFQ","1-4 FAM CONST LN CHG-OFF-QTR","CDI","RI-B","",""
"DRRECNOQ","OTHER CONSTRUCT LN CHG-OFF-QTR","CDI","RI-B","",""
"DRRECONQ","CONSTRUCTION RE LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRREFORA","REAL ESTATE LN CHG-OFF-ANN","CDI","RI-B","",""
"DRREFORQ","REAL ESTATE LOAN CHG-OFF-QTR","CDI","RI-B","",""
"DRREFQA","RE LOAN CHG-OFF-FOR-QTR-ANN","CDI","RI-B","",""
"DRRELOCQ","LINE OF CREDIT RE LN CHG-OFF-QTR","CDI","RI-B","",""
"DRREMULQ","MULTIFAMILY RE LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRRENOTQ","OTHER NONFARM NONRES CHG-OFF-QTR","CDI","RI-B","",""
"DRRENOWQ","OWN OCC NONFRM NONRS CHG-OFF-QTR","CDI","RI-B","",""
"DRRENRSQ","NONFARM NONRES RE LN CHG-OFF-QTR","CDI","RI-B","",""
"DRRENUSQ","NON-U.S. RE LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRREOTHQ","RESIDENTIAL RE LN CHG-OFFS-QTR","CDI","RI-B","",""
"DRREOTQ","RE LOANS-OTHER CHG-OFFS-QTR","CDI","RI-B","",""
"DRREQ","RE LOANS CHG-OFFS-QTR","CDI","RI-B","",""
"DRRERESQ","RE LOANS 1-4 FAMILY CHG-OFFS-QTR","CDI","RI-B","",""
"DRRERS2Q","RE LN 1-4 FAM JR LN-CHG-OFF-QTR","CDI","RI-B","",""
"DRRERSFQ","RE LN 1-4 FIRST LIEN-CHG-OFF-QTR","CDI","RI-B","",""
"DRSCAFSQ","TOTAL DBT SEC-AFS-CHG-OFF-QTR","CDI","RI-B","",""
